Protein.IDs	LFQ.intensity.ATG9_0	LFQ.intensity.ATG9_1	LFQ.intensity.ATG9_4	LFQ.intensity.WT_0	LFQ.intensity.WT_1	LFQ.intensity.WT_4
Q06252	30.7317393078	31.1468490219	31.9331380208	31.1166228304	32.0343507483	32.1362997784
Q06263	25.6230977734	25.4262877718	25.6317930273	25.4563955872	25.5878793171	25.4898720536
Q06287	28.1832526073	27.9295403538	27.8141870522	28.4606815809	28.0214384359	28.4181590101
Q06315	25.9210534230	26.1033794028	25.7305825011	25.9665316081	25.6075136645	25.3148870512
Q06321	24.9604263467	24.8258476867	24.0640276350	24.4643305802	24.5896828685	22.9882294008
Q06336	25.7886580028	26.9272766649	26.7999429937	25.9588905171	27.1411297040	27.3716870961
Q06337	26.0447970210	25.0580685392	25.2460629034	25.3262164521	24.7810807361	25.7818275776
Q06338	26.6110694212	26.4990431703	26.4737504596	27.3586491147	26.9508918841	26.7386155107
Q06344	27.2818248804	26.4337761721	26.8154424274	28.1567055851	26.8535178927	26.8019215115
Q06350	24.2287812118	24.2567597316	24.2022405776	24.1558467790	24.2102401754	24.2521593673
Q06385	28.2758391932	28.6622426170	27.3986510852	28.3504646974	28.6689590496	27.9967676952
Q06389	25.4329722452	25.1331014892	25.2341831329	25.7652618976	24.4179312564	25.3918132719
Q06405	27.6645908909	27.4740182840	27.3362166465	27.9274725963	28.3102894294	27.6992958547
Q06406	29.9125049150	30.2301424072	30.4927522707	29.7398901371	30.0967192124	30.0141807861
Q06407	24.4293867101	24.9064473862	25.4622250160	24.2256497939	25.0597836100	24.8711380119
Q06408	29.4709752199	27.6843397825	26.9469363462	28.0648755768	25.9743148626	25.3691707059
Q06409	25.5486971310	25.6494821461	25.7447590810	25.4662344046	25.6383549089	25.9261711858
Q06411	24.0299809602	24.0477739975	24.3563491493	23.7844243214	24.0424063948	24.1038295281
Q06436	24.8312715156	24.7889689672	24.1990196212	24.4938624755	24.6251148956	24.8499250705
Q06440	30.6650873807	30.6741991057	30.7637206304	30.4984511668	30.4300510576	30.5031384740
Q06449	27.9150117706	29.6331041064	27.9103097620	27.8498294691	28.5796629941	27.0286758818
Q06451	26.4336491819	25.5580525367	25.8452513325	26.1733555883	26.1616992169	26.1179392337
Q06479	26.0963007485	26.8232362279	26.5662896461	25.9506864584	26.5810098869	26.9959750367
Q06485	25.1599788281	25.2625911964	24.3275276994	24.7753589049	26.1365119244	25.4610487135
Q06488	27.4292509476	27.5548977902	27.9558546553	27.6508599408	27.3793870606	27.8157199067
Q06489	29.3535105232	29.4165612392	29.2362049145	29.4838416140	29.3311278634	29.1050690044
Q06493	25.7948533616	25.8376731138	26.1462536006	25.7658898439	25.8286012791	26.0971815786
Q06494	27.8922096132	28.7234017383	28.7802091051	28.0049278567	29.2955258231	28.4757029490
Q06497	24.9459194727	24.9895327985	25.2081513265	24.8409439694	24.9490462039	24.9548676073
Q06504	26.0068729514	25.5093706775	24.5264774760	26.1342975757	26.1513662531	25.3135074481
Q06505	28.4343708978	28.3212638674	28.9644756915	28.1594861170	28.4227630492	28.4527372397
Q06506	26.0173829329	25.9110603991	25.3525828484	26.4439401012	26.0105768970	26.0486018321
